species,unitName,unitSlug,huntType,notes
Bighorn Sheep,Antelope Island,antelope-island,Once-in-a-Lifetime,
Bighorn Sheep,Antelope Island Conservation,antelope-island-conservation,Once-in-a-Lifetime,
Bighorn Sheep,Antimony,antimony,Antlerless,
Bighorn Sheep,"Beaver, Circleville North",beaver-circleville-north,Antlerless,
Bighorn Sheep,"Book Cliffs, South",book-cliffs-south,Once-in-a-Lifetime,
Bighorn Sheep,"Box Elder, Newfoundland Mtn",box-elder-newfoundland-mtn,Once-in-a-Lifetime,
Bighorn Sheep,"Box Elder, Newfoundland Mtn (early)",box-elder-newfoundland-mtn-early,Once-in-a-Lifetime,
Bighorn Sheep,"Box Elder, Newfoundland Mtn (late)",box-elder-newfoundland-mtn-late,Once-in-a-Lifetime,
Bighorn Sheep,"Box Elder, Pilot Mtn",box-elder-pilot-mtn,Once-in-a-Lifetime,
Bighorn Sheep,"Box Elder, West Bear River",box-elder-west-bear-river,Antlerless,
Bighorn Sheep,Chalk Creek,chalk-creek,Antlerless,
Bighorn Sheep,Desert Bighorn Sheep - Statewide Permit,desert-bighorn-sheep-statewide-permit,Once-in-a-Lifetime,
Bighorn Sheep,East Angle,east-angle,Antlerless,
Bighorn Sheep,East Canyon,east-canyon,Antlerless,
Bighorn Sheep,"East Canyon, Davis-North Salt Lake",east-canyon-davis-north-salt-lake,Antlerless,
Bighorn Sheep,"Escalante, East",escalante-east,Once-in-a-Lifetime,
Bighorn Sheep,"Escalante, West",escalante-west,Once-in-a-Lifetime,
Bighorn Sheep,Fillmore City,fillmore-city,Antlerless,
Bighorn Sheep,"Fillmore, Oak City",fillmore-oak-city,Antlerless,
Bighorn Sheep,"Fillmore, Oak Creek",fillmore-oak-creek,Once-in-a-Lifetime,
Bighorn Sheep,Fremont River Valley,fremont-river-valley,Antlerless,
Bighorn Sheep,George Creek CWMU,george-creek-cwmu,Antlerless,
Bighorn Sheep,Henry Mtns,henry-mtns,Once-in-a-Lifetime,
Bighorn Sheep,"Henry Mtns/La Sal, Potash/South Cisco/San Juan, Lockhart/San Juan, South/San Rafael, Dirty Devil Conservation",henry-mtns-la-sal-potash-south-cisco-san-juan-lockhart-san-juan-south-san-rafael-dirty-devil-conservation,Once-in-a-Lifetime,
Bighorn Sheep,Junction Valley CWMU,junction-valley-cwmu,Antlerless,
Bighorn Sheep,"Kaiparowits, East",kaiparowits-east,Once-in-a-Lifetime,
Bighorn Sheep,"Kaiparowits, East/Escalante/West Conservation",kaiparowits-east-escalante-west-conservation,Once-in-a-Lifetime,
Bighorn Sheep,"Kaiparowits, Escalante",kaiparowits-escalante,Once-in-a-Lifetime,
Bighorn Sheep,"Kaiparowits, Escalante East/West",kaiparowits-escalante-east-west,Once-in-a-Lifetime,
Bighorn Sheep,"Kaiparowits, West",kaiparowits-west,Once-in-a-Lifetime,
Bighorn Sheep,"La Sal, Potash/South Cisco",la-sal-potash-south-cisco,Once-in-a-Lifetime,
Bighorn Sheep,Mineral Mtns,mineral-mtns,Once-in-a-Lifetime,
Bighorn Sheep,"Monroe, Annabella",monroe-annabella,Antlerless,
Bighorn Sheep,"Monroe, Foothills",monroe-foothills,Antlerless,
Bighorn Sheep,"Monroe/Plateau, Sevier Valley",monroe-plateau-sevier-valley,Antlerless,
Bighorn Sheep,Mt Carmel CWMU,mt-carmel-cwmu,Antlerless,
Bighorn Sheep,"Mt Dutton, Circleville South",mt-dutton-circleville-south,Antlerless,
Bighorn Sheep,Myton,myton,Antlerless,
Bighorn Sheep,Nebo,nebo,Once-in-a-Lifetime,
Bighorn Sheep,Nebo/Wasatch Mtns,nebo-wasatch-mtns,Once-in-a-Lifetime,
Bighorn Sheep,"Nebo/Wasatch Mtns, West",nebo-wasatch-mtns-west,Once-in-a-Lifetime,
Bighorn Sheep,"Nine Mile, Gray Canyon",nine-mile-gray-canyon,Once-in-a-Lifetime,
Bighorn Sheep,"Nine Mile, Green River Valley",nine-mile-green-river-valley,Antlerless,
Bighorn Sheep,"Nine Mile, Jack Creek",nine-mile-jack-creek,Once-in-a-Lifetime,
Bighorn Sheep,"Nine Mile, Price River Valley",nine-mile-price-river-valley,Antlerless,
Bighorn Sheep,"Nine Mile, Range Creek",nine-mile-range-creek,Once-in-a-Lifetime,
Bighorn Sheep,"North Slope, Bare Top/West Daggett",north-slope-bare-top-west-daggett,Once-in-a-Lifetime,
Bighorn Sheep,"North Slope, Manila-Phil Pico",north-slope-manila-phil-pico,Antlerless,
Bighorn Sheep,"North Slope, Summit/West Daggett",north-slope-summit-west-daggett,Once-in-a-Lifetime,
Bighorn Sheep,"North Slope, Three Corners",north-slope-three-corners,Once-in-a-Lifetime,
Bighorn Sheep,"Oquirrh-Stansbury, Settlement Cyn",oquirrh-stansbury-settlement-cyn,Antlerless,
Bighorn Sheep,"Oquirrh-Stansbury, West",oquirrh-stansbury-west,Once-in-a-Lifetime,
Bighorn Sheep,"Panguitch Lake, Cottonwood",panguitch-lake-cottonwood,Antlerless,
Bighorn Sheep,"Panguitch Lake, Panguitch Valley",panguitch-lake-panguitch-valley,Antlerless,
Bighorn Sheep,"Panguitch Lake, Parowan Front",panguitch-lake-parowan-front,Antlerless,
Bighorn Sheep,"Panguitch Lake, Summit",panguitch-lake-summit,Antlerless,
Bighorn Sheep,"Pine Valley, Beaver Dam",pine-valley-beaver-dam,Once-in-a-Lifetime,
Bighorn Sheep,"Pine Valley, Enterprise",pine-valley-enterprise,Antlerless,
Bighorn Sheep,"Pine Valley, New Harmony",pine-valley-new-harmony,Antlerless,
Bighorn Sheep,"Pine Valley, Quichapa",pine-valley-quichapa,Antlerless,
Bighorn Sheep,"Pine Valley, Virgin River",pine-valley-virgin-river,Once-in-a-Lifetime,
Bighorn Sheep,Rocky Mountain Bighorn Sheep - Statewide Permit,rocky-mountain-bighorn-sheep-statewide-permit,Once-in-a-Lifetime,
Bighorn Sheep,"San Juan, Lockhart",san-juan-lockhart,Once-in-a-Lifetime,
Bighorn Sheep,"San Juan, Monticello",san-juan-monticello,Antlerless,
Bighorn Sheep,"San Juan, North",san-juan-north,Once-in-a-Lifetime,
Bighorn Sheep,"San Juan, San Juan River",san-juan-san-juan-river,Once-in-a-Lifetime,
Bighorn Sheep,"San Juan, South",san-juan-south,Once-in-a-Lifetime,
Bighorn Sheep,San Rafael North/South Conservation,san-rafael-north-south-conservation,Once-in-a-Lifetime,
Bighorn Sheep,"San Rafael, Dirty Devil",san-rafael-dirty-devil,Once-in-a-Lifetime,
Bighorn Sheep,"San Rafael, North",san-rafael-north,Once-in-a-Lifetime,
Bighorn Sheep,"San Rafael, South",san-rafael-south,Once-in-a-Lifetime,
Bighorn Sheep,"Southwest Desert, Cedar Valley",southwest-desert-cedar-valley,Antlerless,
Bighorn Sheep,"Southwest Desert, Garrison",southwest-desert-garrison,Antlerless,
Bighorn Sheep,Stansbury,stansbury,Once-in-a-Lifetime,
Bighorn Sheep,Statewide Conservation,statewide-conservation,Once-in-a-Lifetime,
Bighorn Sheep,The Rose of Snowville CWMU,the-rose-of-snowville-cwmu,Antlerless,
Bighorn Sheep,Vernal-Ouray Valley,vernal-ouray-valley,Antlerless,
Bighorn Sheep,"Vernal, Ashley Valley",vernal-ashley-valley,Antlerless,
Bighorn Sheep,"Wasatch Mtns, Avintaquin",wasatch-mtns-avintaquin,Once-in-a-Lifetime,
Bighorn Sheep,"Wasatch Mtns, West",wasatch-mtns-west,Once-in-a-Lifetime,
Bighorn Sheep,"Wasatch Mtns, West-Sheep Creek",wasatch-mtns-west-sheep-creek,Antlerless,
Bighorn Sheep,Zion,zion,Once-in-a-Lifetime,
Bighorn Sheep,Zion (late) - Conservation,zion-late-conservation,Once-in-a-Lifetime,
Bighorn Sheep,Zion Conservation,zion-conservation,Once-in-a-Lifetime,
Bighorn Sheep,"Zion, Northwest Zion",zion-northwest-zion,Antlerless,
Bison,Antelope Island,antelope-island,Once-in-a-Lifetime,
Bison,Antelope Island - Hunt #BI0001,antelope-island-hunt-bi0001,Once-in-a-Lifetime,
Bison,Bison - Statewide Permit,bison-statewide-permit,Once-in-a-Lifetime,
Bison,Book Cliffs,book-cliffs,Once-in-a-Lifetime,
Bison,"Book Cliffs, Bitter Creek",book-cliffs-bitter-creek,Once-in-a-Lifetime,
Bison,"Book Cliffs, Bitter Creek/South",book-cliffs-bitter-creek-south,Once-in-a-Lifetime,
Bison,"Book Cliffs, Little Creek Roadless",book-cliffs-little-creek-roadless,Once-in-a-Lifetime,
Bison,"Book Cliffs, Little Creek Roadless (Cow only)",book-cliffs-little-creek-roadless-cow-only,Once-in-a-Lifetime,
Bison,"Book Cliffs, Little Creek/South",book-cliffs-little-creek-south,Once-in-a-Lifetime,
Bison,"Book Cliffs, Wild Horse Bench",book-cliffs-wild-horse-bench,Once-in-a-Lifetime,
Bison,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro",book-cliffs-wild-horse-bench-nine-mile-anthro,Once-in-a-Lifetime,
Bison,Henry Mtns,henry-mtns,Once-in-a-Lifetime,
Bison,"Henry Mtns/Plateau, Boulder/Kaiparowits",henry-mtns-plateau-boulder-kaiparowits,Once-in-a-Lifetime,
Bison,Nine Mile,nine-mile,Once-in-a-Lifetime,
Bison,"Nine Mile, Private Lands Only",nine-mile-private-lands-only,Once-in-a-Lifetime,
Bison,Statewide Conservation,statewide-conservation,Once-in-a-Lifetime,
Black Bear,Beaver,beaver,Limited Entry,
Black Bear,Black Bear - Statewide Permit,black-bear-statewide-permit,General,
Black Bear,Black Bear Conservation - Statewide,black-bear-conservation-statewide,Limited Entry,
Black Bear,Black Bear Harvest Objective Units,black-bear-harvest-objective-units,General,
Black Bear,Black Bear Pursuit - Nonresident,black-bear-pursuit-nonresident,Limited Entry,
Black Bear,Black Bear Pursuit - Resident,black-bear-pursuit-resident,Limited Entry,
Black Bear,Book Cliffs,book-cliffs,Limited Entry,
Black Bear,"Book Cliffs, Bitter Creek/South",book-cliffs-bitter-creek-south,Limited Entry,
Black Bear,"Book Cliffs, Little Creek Roadless",book-cliffs-little-creek-roadless,Limited Entry,
Black Bear,Boulder/Kaiparowits,boulder-kaiparowits,Limited Entry,
Black Bear,Cache/East Canyon/Morgan-South Rich/Ogden,cache-east-canyon-morgan-south-rich-ogden,Limited Entry,
Black Bear,Cache/Ogden,cache-ogden,Limited Entry,
Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,chalk-creek-east-canyon-morgan-south-rich,Limited Entry,
Black Bear,"Chalk Creek/Kamas/North Slope, Summit",chalk-creek-kamas-north-slope-summit,Limited Entry,
Black Bear,Diamond Mtn/Vernal/Bonanza,diamond-mtn-vernal-bonanza,Limited Entry,
Black Bear,Dolores Triangle,dolores-triangle,Limited Entry,
Black Bear,"Fillmore, Pahvant",fillmore-pahvant,Limited Entry,
Black Bear,Fishlake/Thousand Lakes,fishlake-thousand-lakes,Limited Entry,
Black Bear,"Kamas/North Slope, Summit",kamas-north-slope-summit,Limited Entry,
Black Bear,La Sal,la-sal,Limited Entry,
Black Bear,La Sal Mtns,la-sal-mtns,Limited Entry,
Black Bear,Manti-North,manti-north,Limited Entry,
Black Bear,"Manti-South/San Rafael, North",manti-south-san-rafael-north,Limited Entry,
Black Bear,"Manti, North",manti-north,Limited Entry,
Black Bear,"Manti, South/San Rafael, North",manti-south-san-rafael-north,Limited Entry,
Black Bear,Monroe,monroe,Limited Entry,
Black Bear,Mt Dutton,mt-dutton,Limited Entry,
Black Bear,Nebo,nebo,Limited Entry,
Black Bear,Nine Mile,nine-mile,Limited Entry,
Black Bear,"North Slope, Three Corners/West Daggett",north-slope-three-corners-west-daggett,Limited Entry,
Black Bear,Panguitch Lake/Zion,panguitch-lake-zion,Limited Entry,
Black Bear,Paunsaugunt,paunsaugunt,Limited Entry,
Black Bear,San Juan,san-juan,Limited Entry,
Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",wasatch-mtns-avintaquin-currant-creek,Limited Entry,
Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek (bear)",wasatch-mtns-avintaquin-currant-creek-bear,Limited Entry,
Black Bear,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,Limited Entry,
Black Bear,Yellowstone,yellowstone,Limited Entry,
Cougar,Beaver,beaver,General,
Cougar,"Beaver, East",beaver-east,General,
Cougar,"Beaver, Mineral Mountains",beaver-mineral-mountains,General,
Cougar,"Beaver, West",beaver-west,General,
Cougar,Bonanza/Diamond Mtn/Vernal,bonanza-diamond-mtn-vernal,General,
Cougar,"Book Cliffs, East",book-cliffs-east,General,
Cougar,"Book Cliffs, Rattlesnake Canyon/Nine Mile, South",book-cliffs-rattlesnake-canyon-nine-mile-south,General,
Cougar,Boulder,boulder,General,
Cougar,"Box Elder, Desert",box-elder-desert,General,
Cougar,"Box Elder, Desert and Box Elder, Raft River Conservation",box-elder-desert-and-box-elder-raft-river-conservation,Management,
Cougar,"Box Elder, Pilot Mtn",box-elder-pilot-mtn,General,
Cougar,"Box Elder, Raft River",box-elder-raft-river,General,
Cougar,Cache,cache,General,
Cougar,Chalk Creek,chalk-creek,General,
Cougar,Chalk Creek/Kamas,chalk-creek-kamas,General,
Cougar,"Chalk Creek/Kamas, East Canyon, and Morgan-South Rich Conservation",chalk-creek-kamas-east-canyon-and-morgan-south-rich-conservation,Management,
Cougar,Cougar - Statewide,cougar-statewide,General,
Cougar,Cougar - Statewide Permit,cougar-statewide-permit,General,
Cougar,Cougar Control,cougar-control,General,
Cougar,Cougar Pursuit,cougar-pursuit,General,
Cougar,East Canyon,east-canyon,General,
Cougar,"East Canyon, Davis",east-canyon-davis,General,
Cougar,"Fillmore, Oak Creek",fillmore-oak-creek,General,
Cougar,"Fillmore, Pahvant",fillmore-pahvant,General,
